date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
14000402,فاراك,1.8E+11,86044335,7537688,2092,2,2089,2140,2001,2089,52,951,926,3,4,78729768,78233950,7314567,7810385
14000405,فاراك,1.54E+11,72891180,7170172,2112,1,2089,2169,2060,2073,53,1049,834,1,3,65791180,72068075,7100000,823105
14000406,فاراك,1.68E+11,81216982,7170172,2068,-2,2060,2144,2021,2035,52,1197,906,2,3,80830759,80776214,386223,440768
14000414,فاراك,1.34E+11,73119573,7253385,1827,5,1840,1860,1807,1847,65,851,588,1,2,63119573,63730573,10000000,9389000
14000415,فاراك,1.32E+11,70119662,7253385,1876,3,1860,1914,1830,1885,67,1178,960,1,1,68544700,69919662,1574962,200000
14000416,فاراك,74751813071,38306944,8255091,1951,4,1900,1969,1881,1969,70,225,640,0,5,38306944,35959369,0,2347575
14000419,فاراك,3.62E+11,177907161,8255091,2036,4,2030,2048,1990,2010,73,1992,1573,2,9,176600040,145398432,1307121,32508729
14000420,فاراك,2.85E+11,145390370,8255091,1960,-4,1999,2019,1935,1978,70,2091,1236,4,0,136425370,145390370,8965000,0
14000421,فاراك,1.11E+11,56247939,8255091,1978,1,1999,2040,1921,1945,71,1109,864,1,1,55232939,55990372,1015000,257567
14000422,فاراك,79397355265,40757760,8255091,1948,-2,1930,2000,1911,1935,70,829,698,2,1,40207760,40707760,550000,50000
14000423,فاراك,71922194597,36917243,8255091,1948,0,1935,1978,1917,1962,70,717,803,1,0,36517243,37000000,400000,0
14000426,فاراك,6.49E+11,318112779,8255091,2042,5,1989,2045,1981,2045,73,2326,1978,3,8,311413281,261000865,6699498,57111914
14000427,فاراك,2.39E+11,117644245,,2033,0,2059,2090,1970,2019,73,2127,1263,2,4,114414071,114903649,3230174,2740596
14000504,فاراك,1.56E+11,76387707,8255091,2045,-2,2100,2124,1990,2002,73,1375,1010,1,0,76121207,76387707,266500,0
